IsActive,1,2,3,4,5,6,7,8
1,Animals & Pet Supplies,,,,,,,
0,Animals & Pet Supplies,Live Animals,,,,,,
1,Animals & Pet Supplies,Pet Supplies,,,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Cage Accessories,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Cage Accessories,Bird Cage Bird Baths,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Cage Accessories,Bird Cage Food & Water Dishes,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Cages & Stands,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Food,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Gyms & Play Stands,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Ladders & Perches,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Toys,,,,
1,Animals & Pet Supplies,Pet Supplies,Bird Supplies,Bird Treats,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat & Dog Flaps,,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,,,,,
0,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Apparel,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Beds,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Food,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Furniture,,,,
0,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Furniture Accessories,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Litter,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Litter Box Liners,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Litter Box Mats,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Litter Trays,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Toys,,,,
1,Animals & Pet Supplies,Pet Supplies,Cat Supplies,Cat Treats,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,,,,,
0,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Apparel,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Beds,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Food,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Houses,,,,
0,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Kennel & Run Accessories,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Kennels & Runs,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Nappies,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Nappy Pads & Liners,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Toys,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Treadmills,,,,
1,Animals & Pet Supplies,Pet Supplies,Dog Supplies,Dog Treats,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium & Pond Tubing,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Air Stones & Diffusers,,,,
0,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Cleaning Supplies,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Decor,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Filters,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Fish Nets,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Gravel & Substrates,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Lighting,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Overflow Boxes,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Stands,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Temperature Controllers,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquarium Water Treatments,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquariums,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Aquatic Plant Fertilisers,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Fish Feeders,,,,
1,Animals & Pet Supplies,Pet Supplies,Fish Supplies,Fish Food,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Agility Equipment,,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Bed Accessories,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Bells & Charms,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Biometric Monitors,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Biometric Monitors,Pet Glucose Meters,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Biometric Monitors,Pet Pedometers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Biometric Monitors,Pet Thermometers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Bowl Mats,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Bowl Stands,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Bowls, Feeders & Waterers,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Carrier & Crate Accessories,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Carriers & Crates,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Clothing Hangers,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Collars & Harnesses,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Containment Systems,,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Door Accessories,,,,,
0,Animals & Pet Supplies,Pet Supplies,Pet Eye Drops & Lubricants,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet First Aid & Emergency Kits,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Flea & Tick Control,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Food Containers,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Food Scoops,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Combs & Brushes,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Fragrances & Deodorising Sprays,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Hair Dryers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Hair Trimmers,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Nail Polish,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Nail Tools,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Shampoo & Conditioner,,,,
1,Animals & Pet Supplies,Pet Supplies,Pet Grooming Supplies,Pet Wipes,,,,
